Index,Alpha,Gamma,Reward Coef,Accuracy
688,1.0,0.9,7.0,1.0
689,1.0,0.9,8.0,1.0
690,1.0,0.9,9.0,1.0
691,1.0,0.9,10.0,1.0
692,1.0,0.9,11.0,1.0
693,1.0,0.9,12.0,1.0
694,1.0,0.9,13.0,1.0
695,1.0,0.9,14.0,1.0
696,1.0,0.9,15.0,1.0
697,1.0,0.9,16.0,1.0
698,1.0,0.9,17.0,1.0
699,1.0,0.9,18.0,1.0
700,1.0,0.9,19.0,1.0
701,1.0,0.9,20.0,1.0
702,1.0,0.9,21.0,1.0
703,1.0,0.9,22.0,1.0
704,1.0,0.9,23.0,1.0
705,1.0,0.9,24.0,1.0
706,1.0,0.9,25.0,1.0
707,1.0,0.9,26.0,1.0
708,1.0,0.9,27.0,1.0
709,1.0,0.9,28.0,1.0
710,1.0,0.9,29.0,0.8
711,1.0,0.9,30.0,0.8
712,1.0,0.9,31.0,0.8
713,1.0,0.9,32.0,0.8
714,1.0,0.9,33.0,0.8
715,1.0,0.9,34.0,0.8
716,1.0,0.9,35.0,0.8
717,1.0,0.9,36.0,0.8
718,1.0,0.9,37.0,0.8
719,1.0,0.9,38.0,0.8
720,1.0,0.9,39.0,0.8
721,0.9,0.9,0.0,0.8
722,0.9,0.9,1.0,1.0
723,0.9,0.9,2.0,1.0
724,0.9,0.9,3.0,1.0
725,0.9,0.9,4.0,1.0
726,0.9,0.9,5.0,1.0
727,0.9,0.9,6.0,1.0
728,0.9,0.9,7.0,0.8
729,0.9,0.9,8.0,1.0
730,0.9,0.9,9.0,1.0
731,0.9,0.9,10.0,1.0
732,0.9,0.9,11.0,1.0
733,0.9,0.9,12.0,1.0
734,0.9,0.9,13.0,1.0
735,0.9,0.9,14.0,1.0
736,0.9,0.9,15.0,1.0
737,0.9,0.9,16.0,1.0
738,0.9,0.9,17.0,1.0
739,0.9,0.9,18.0,1.0
740,0.9,0.9,19.0,1.0
741,0.9,0.9,20.0,1.0
742,0.9,0.9,21.0,1.0
743,0.9,0.9,22.0,1.0
744,0.9,0.9,23.0,1.0
745,0.9,0.9,24.0,1.0
746,0.9,0.9,25.0,1.0
747,0.9,0.9,26.0,1.0
748,0.9,0.9,27.0,1.0
749,0.9,0.9,28.0,1.0
750,0.9,0.9,29.0,0.8
751,0.9,0.9,30.0,0.8
752,0.9,0.9,31.0,0.8
753,0.9,0.9,32.0,0.8
754,0.9,0.9,33.0,0.8
755,0.9,0.9,34.0,0.8
756,0.9,0.9,35.0,0.8
757,0.9,0.9,36.0,0.8
758,0.9,0.9,37.0,0.8
759,0.9,0.9,38.0,0.8
760,0.9,0.9,39.0,0.8
761,1.0,0.9,0.0,0.8
762,1.0,0.9,1.0,1.0
763,1.0,0.9,2.0,1.0
764,1.0,0.9,3.0,0.8
765,1.0,0.9,4.0,1.0
766,1.0,0.9,5.0,1.0
767,1.0,0.9,6.0,1.0
768,1.0,0.9,7.0,1.0
769,1.0,0.9,8.0,1.0
770,1.0,0.9,9.0,1.0
771,1.0,0.9,10.0,1.0
